date,BIAS,BOLL,MACD,VMACD,MA,RSI,KDJ,open,high,low,close,change,change_percent,trading_volume,trading_value,IMF1,IMF2,IMF3
2013/1/4,3.5633,2107.8157,53.9138,14546020.8,2240.8802,86.4123,90.4684,"2,289.51","2,296.11","2,256.56","2,276.99",7.86,0.37,"1,394,699.31","11,462,776.40",2277.897638,30.09949849,-28.82201091
2013/1/7,3.4538,2119.131,56.7739,13446675.26,2254.1266,87.4746,91.245,"2,271.66","2,293.32","2,266.86","2,285.36",8.37,-0.41,"1,181,628.13","9,687,286.59",2277.930986,30.30117348,-28.63354623
2013/1/8,2.5935,2130.7674,57.6264,12810649.8,2268.1612,79.2235,89.687,"2,284.65","2,289.14","2,262.98","2,276.07",-9.29,-0.03,"1,229,078.77","10,642,876.27",2277.865735,30.56833627,-28.38503933
2013/1/9,2.1267,2142.7617,57.5794,12095116.23,2276.5788,78.5253,88.4853,"2,271.30","2,283.90","2,259.05","2,275.34",-0.73,0.37,"1,220,149.24","10,282,309.95",2277.885116,31.09405802,-27.80334403
2013/1/10,2.0599,2154.4364,57.5499,11241261.13,2279.4848,80.8346,87.8162,"2,274.38","2,295.48","2,268.65","2,283.66",8.32,-1.78,"1,200,666.76","9,823,640.29",2278.003758,31.89638801,-26.79957973
2013/1/11,-0.0911,2165.3298,53.6273,10843168.75,2272.6858,49.5672,72.6555,"2,285.19","2,290.21","2,234.95","2,243.00",-40.66,3.06,"1,250,682.75","10,155,095.18",2278.267387,33.02523113,-25.24617192
2013/1/14,2.3906,2178.2759,55.4267,11977747.42,2277.961,71.7422,80.0461,"2,236.29","2,317.62","2,235.11","2,311.74",68.74,0.6,"1,447,498.89","12,361,492.69",2279.287228,35.09677225,-22.45847238
2013/1/15,2.5838,2189.5749,57.317,14397088.5,2287.8834,74.4738,84.278,"2,312.47","2,332.78","2,309.32","2,325.68",13.94,-0.7,"1,656,459.81","14,101,396.68",2279.988771,36.96015961,-19.82284397
2013/1/16,1.5327,2200.3542,56.8539,15160494.91,2294.7152,65.6362,81.5857,"2,322.16","2,326.76","2,279.51","2,309.50",-16.18,-1.06,"1,535,111.67","13,310,769.35",2280.029564,38.2281766,-17.82931942
2013/1/17,0.1617,2208.9359,53.8816,12840932.2,2294.9654,53.9604,71.4128,"2,305.14","2,305.60","2,275.88","2,284.91",-24.59,1.41,"1,191,018.35","10,321,405.24",2279.889751,39.39818568,-15.81981594
2013/1/18,1.2615,2217.909,53.5044,11382726.71,2309.78,64.0087,75.5884,"2,295.81","2,324.51","2,285.97","2,317.07",32.16,0.48,"1,254,380.26","10,539,153.35",2280.056049,40.97908649,-13.08864934
2013/1/21,1.5303,2227.6596,53.4886,10847828.37,2313.0762,67.0049,82.1713,"2,321.49","2,329.58","2,305.10","2,328.22",11.15,-0.56,"1,346,804.58","11,301,606.15",2280.063122,42.48238898,-10.0963328
2013/1/22,0.8201,2236.5986,51.8231,11484646.51,2310.9676,59.9759,81.2839,"2,326.49","2,335.81","2,301.30","2,315.14",-13.08,0.25,"1,494,665.84","12,337,004.94",2279.736755,43.72291596,-6.963591339
2013/1/23,0.9412,2246.5768,50.3881,9356880.893,2313.25,62.0819,82.5999,"2,308.52","2,325.12","2,296.49","2,320.91",5.77,-0.79,"1,181,797.22","9,695,621.87",2279.395222,45.04061334,-3.17855704
2013/1/24,0.0486,2252.422,47.2287,11001586.27,2316.7878,51.7204,72.6649,"2,320.26","2,362.94","2,287.30","2,302.60",-18.31,-0.49,"1,610,316.74","13,560,434.09",2279.120105,46.53974089,1.507827313
2013/1/25,-0.4997,2257.459,43.3143,6706319.916,2311.6346,46.0343,54.3495,"2,300.00","2,308.38","2,288.26","2,291.30",-11.29,2.41,"926,057.41","8,026,738.86",2279.44836,48.79262416,7.79706224
2013/1/28,1.6662,2264.5375,44.1573,6118744.431,2315.2914,67.1903,63.273,"2,295.35","2,346.92","2,295.35","2,346.51",55.2,0.53,"1,283,837.60","11,691,636.97",2280.698003,52.11736654,15.91689534
2013/1/29,1.7804,2272.1043,45.3095,6663207.781,2324.059,70.3425,73.6879,"2,347.22","2,363.80","2,337.35","2,358.98",12.47,1,"1,418,539.34","12,491,696.54",2282.13291,55.70773779,24.62255187
2013/1/30,2.5335,2280.3398,47.5703,7654016.426,2336.3718,75.635,82.0196,"2,360.75","2,383.76","2,347.89","2,382.48",23.5,0.12,"1,498,789.07","12,485,603.70",2283.597662,59.34505519,33.21947316
2013/1/31,2.4408,2289.2672,49.0346,7531702.726,2352.9366,76.2722,85.9724,"2,383.43","2,391.82","2,371.23","2,385.42",2.95,1.41,"1,397,078.92","11,620,503.70",2284.977971,62.85916992,41.06854764
2013/2/1,3.4781,2299.2659,52.3032,7438610.88,2378.4798,82.5251,90.1169,"2,377.41","2,421.15","2,369.57","2,419.02",33.6,0.38,"1,408,181.72","12,555,495.82",2286.348442,66.27470451,47.75683549
2013/2/4,3.3411,2307.5175,54.9967,9413470.534,2394.8096,83.9085,90.7499,"2,425.92","2,440.38","2,417.59","2,428.15",9.13,0.2,"1,675,514.02","15,253,369.34",2287.331078,69.14910793,52.39329168
2013/2/5,3.1284,2315.7482,56.8772,9513525.824,2409.6402,84.7003,92.2554,"2,411.00","2,437.42","2,403.30","2,433.13",4.98,0.06,"1,507,545.05","12,709,611.31",2287.836256,71.34675114,54.53536115
2013/2/6,2.7997,2324.5398,57.8097,6757326.42,2420.0406,84.941,93.2624,"2,432.68","2,441.73","2,427.70","2,434.48",1.35,-0.66,"1,165,799.66","10,458,353.69",2287.86811,72.84536313,54.02500375
2013/2/7,1.7561,2331.6658,56.6095,4794416.342,2426.6622,69.4242,90.2259,"2,430.69","2,433.89","2,394.22","2,418.53",-15.95,0.57,"1,200,086.34","10,933,506.81",2287.457927,73.66499898,50.91122193
2013/2/8,1.9412,2337.9456,56.1306,2329319.815,2429.3386,74.3209,90.131,"2,416.62","2,443.03","2,414.40","2,432.40",13.87,-0.45,"1,090,703.86","9,896,522.46",2286.807988,74.00964844,45.57984914
2013/2/18,1.0669,2343.5058,54.2507,938180.7828,2428.0194,64.6139,85.4253,"2,441.91","2,444.80","2,415.43","2,421.56",-10.84,-1.6,"1,161,749.94","10,365,702.51",2285.570383,73.52007587,37.9056307
2013/2/19,-0.8619,2347.2578,49.0768,419769.2816,2417.9762,41.4582,62.8624,"2,420.27","2,427.08","2,373.54","2,382.91",-38.64,0.6,"1,234,733.34","10,633,094.50",2283.811342,72.28239673,28.41206924
2013/2/20,-0.4433,2351.9158,45.6018,-1043590.935,2410.5164,49.4778,54.1403,"2,383.49","2,397.94","2,370.61","2,397.18",14.26,-2.97,"1,102,805.77","9,722,229.90",2281.927968,70.73993003,18.14147846
2013/2/21,-3.2909,2353.8623,36.6777,516407.7326,2392.0006,27.1727,40.2174,"2,378.82","2,378.82","2,309.17","2,325.95",-71.23,-0.51,"1,440,594.78","12,662,783.14",2279.636785,68.64584772,7.441933335
2013/2/22,-3.5527,2355.0357,28.3276,-2022738.129,2368.353,24.94,28.1357,"2,322.94","2,330.88","2,308.76","2,314.16",-11.79,0.5,"969,818.28","8,757,982.10",2277.912802,67.06022687,-1.875625244
2013/2/25,-2.8659,2358.2211,22.3924,-4676239.187,2349.2052,31.6079,22.9369,"2,320.62","2,338.78","2,315.01","2,325.82",11.65,-1.4,"883,673.74","7,764,234.09",2276.851528,66.11551492,-9.17666078
2013/2/26,-3.8015,2357.5135,14.8963,-4366870.612,2331.2906,24.3689,16.0345,"2,313.74","2,340.71","2,289.89","2,293.34",-32.48,0.87,"1,176,386.67","10,591,718.92",2276.106524,65.45843601,-14.58309735
2013/2/27,-2.5763,2357.0342,10.4393,-5655309.357,2314.499,35.2594,15.7102,"2,297.77","2,324.63","2,292.03","2,313.22",19.88,2.26,"978,248.87","8,826,292.42",2276.056693,65.46440993,-17.59823499
2013/2/28,-0.1338,2359.1916,11.0063,-4276911.698,2322.4274,55.5121,26.763,"2,322.32","2,366.16","2,308.92","2,365.59",52.37,-0.26,"1,269,504.94","11,591,826.84",2276.206325,65.57573581,-18.98431538
2013/3/1,-0.1274,2362.0607,10.8395,-3677737.261,2331.4958,53.1914,34.7577,"2,364.54","2,369.65","2,330.86","2,359.51",-6.09,-3.65,"1,203,127.52","11,153,111.42",2275.421261,64.56852756,-20.34320152
2013/3/4,-3.2767,2360.3813,3.7168,139150.3831,2321.0128,31.1129,26.5743,"2,332.08","2,333.54","2,259.25","2,273.40",-86.1,2.33,"1,617,500.25","14,304,650.87",2273.883604,62.62427459,-21.56936595
2013/3/5,-0.6523,2360.3076,2.314,685906.9204,2327.6058,47.2547,36.4099,"2,274.81","2,328.14","2,270.10","2,326.31",52.9,0.9,"1,311,365.98","11,672,119.56",2272.999033,61.21194631,-21.0573681
2013/3/6,0.5052,2361.5399,2.8537,1919904.22,2334.3976,52.5221,50.8223,"2,333.62","2,351.44","2,321.60","2,347.18",20.87,-0.98,"1,413,336.92","12,536,479.78",2271.90449,59.43104895,-19.97287015
2013/3/7,-0.2662,2361.67,1.4184,2739003.959,2326.1376,46.4224,53.5207,"2,340.44","2,352.02","2,304.27","2,324.29",-22.89,-0.24,"1,397,563.48","12,608,589.22",2270.020787,56.6673096,-19.20600955
2013/3/8,-0.2297,2362.2859,-0.1756,81895.1625,2317.9586,44.8699,53.604,"2,326.42","2,333.67","2,314.59","2,318.61",-5.68,-0.35,"987,941.48","8,843,860.70",2267.684005,53.28193542,-18.43820118
2013/3/11,-0.5199,2363.0278,-2.062,-3172051.731,2325.3964,42.4651,51.2388,"2,314.68","2,320.96","2,296.58","2,310.59",-8.02,-1.04,"841,119.03","7,391,994.74",2264.958392,49.37605275,-17.54863455
2013/3/12,-1.4553,2360.7239,-5.4301,-3008734.651,2317.4562,35.6127,42.4193,"2,309.16","2,333.29","2,264.83","2,286.61",-23.99,-0.99,"1,176,644.56","10,063,709.29",2261.934872,45.09195039,-16.31554055
2013/3/13,-2.2136,2357.0697,-9.8128,-4975741.968,2300.814,30.1105,31.3491,"2,282.17","2,286.33","2,253.25","2,263.97",-22.64,0.28,"909,727.88","7,768,895.58",2259.009762,40.89834436,-14.12714699
2013/3/14,-1.8597,2352.7544,-12.6315,-7312003.223,2290.0108,33.5444,26.646,"2,255.78","2,276.22","2,253.31","2,270.28",6.31,0.36,"802,940.86","6,921,859.28",2256.558458,37.23624529,-10.46607615
2013/3/15,-1.3848,2348.6382,-14.0478,-6172628.511,2281.9688,38.2337,27.0423,"2,269.32","2,312.08","2,250.01","2,278.40",8.12,-1.68,"1,164,778.13","10,157,810.73",2254.41393,33.96736485,-5.591760794
2013/3/18,-2.605,2341.7535,-18.0594,-7072692.865,2267.8534,27.3081,18.2652,"2,267.29","2,276.05","2,239.21","2,240.02",-38.38,0.78,"931,227.72","8,148,617.57",2252.503083,31.04246077,0.241244495
2013/3/19,-1.4834,2335.1873,-19.6071,-8139261.531,2262.0192,37.0961,19.2355,"2,244.27","2,261.31","2,232.02","2,257.43",17.42,2.66,"875,821.05","7,551,207.23",2251.528824,29.20190571,7.549514909
2013/3/20,0.971,2330.7352,-15.8148,-5399353.625,2272.7004,59.5745,40.8138,"2,257.74","2,317.86","2,257.42","2,317.37",59.94,0.3,"1,312,412.84","11,397,425.40",2251.213036,28.13288091,15.47099807
2013/3/21,1.2779,2326.4953,-12.1154,-4151656.712,2283.4934,61.4678,57.5655,"2,318.21","2,330.81","2,311.60","2,324.24",6.87,0.17,"1,192,009.10","10,478,606.52",2250.47415,26.662698,22.05729035
2013/3/22,1.5234,2323.0241,-8.7571,-4565382.723,2293.4688,62.6996,70.0618,"2,321.40","2,332.00","2,314.97","2,328.28",4.04,-0.07,"1,011,672.99","8,595,132.15",2249.117359,24.54849681,26.49558628
2013/3/25,1.4463,2318.9592,-6.1508,-5167419.094,2310.8086,61.7817,74.6725,"2,334.74","2,344.89","2,319.91","2,326.72",-1.56,-1.25,"970,315.26","8,541,862.24",2247.069974,21.70482479,28.36446775
2013/3/26,0.2562,2314.1943,-6.3558,-4988503.52,2318.8556,46.5763,69.1684,"2,318.58","2,319.99","2,281.12","2,297.67",-29.05,0.16,"1,044,490.15","9,181,132.76",2244.379289,18.19990646,27.64775866
2013/3/27,0.4469,2311.0537,-6.1575,-5439053.843,2315.6326,48.4577,66.5592,"2,299.38","2,323.48","2,289.00","2,301.26",3.59,-2.82,"963,311.95","8,570,841.94",2241.389644,14.43131849,24.90235358
2013/3/28,-2.2094,2304.8662,-11.1138,-3231005.522,2298.0446,27.46,45.6365,"2,273.55","2,273.55","2,232.91","2,236.30",-64.96,0.01,"1,276,586.98","10,759,350.84",2238.094655,10.45335749,20.47515384
2013/3/29,-2.0979,2301.4304,-14.8449,-4822096.66,2279.7132,27.6448,32.6664,"2,238.49","2,246.87","2,228.81","2,236.62",0.32,-0.1,"855,654.73","7,335,818.51",2235.41397,7.28080041,15.86265205
2013/4/1,-2.0672,2298.3623,-17.7764,-6664162.895,2261.2492,27.0675,23.7851,"2,229.46","2,243.95","2,227.31","2,234.40",-2.23,-0.3,"774,117.74","6,699,753.40",2233.30146,4.910135416,11.37086391
2013/4/2,-2.1779,2294.5901,-20.4016,-7050032.385,2247.2634,25.1809,17.8122,"2,234.90","2,253.42","2,220.44","2,227.74",-6.66,-0.11,"897,143.23","7,759,666.73",2231.562527,3.156771896,6.994413257
2013/4/3,-2.2326,2291.9729,-22.4208,-7903729.104,2232.0706,24.4302,13.9752,"2,232.69","2,241.34","2,217.25","2,225.30",-2.44,-0.62,"817,952.67","6,880,135.69",2230.155133,1.981739691,2.831499701
2013/4/8,-2.6712,2288.0642,-24.8405,-8126549.609,2227.1286,20.35,15.5927,"2,196.24","2,212.59","2,180.67","2,211.59",-13.7,0.64,"862,574.70","7,366,617.00",2229.018279,1.31962866,-1.089985159
2013/4/9,-1.7169,2282.6865,-25.3217,-8476621.883,2224.9594,34.0338,20.9228,"2,215.47","2,234.73","2,215.47","2,225.78",14.18,0.02,"828,965.44","7,313,503.54",2228.242309,1.252038497,-4.627784356
2013/4/10,-1.3452,2277.5565,-25.3822,-8835930.237,2223.3056,34.3686,24.5582,"2,224.93","2,233.04","2,212.56","2,226.13",0.35,-0.3,"806,196.21","7,109,021.96",2227.482343,1.402040335,-8.192727975
2013/4/11,-1.24,2275.4853,-25.6647,-9574106.169,2221.6682,30.8496,30.3258,"2,236.98","2,242.48","2,217.27","2,219.55",-6.57,-0.58,"736,327.04","6,213,270.02",2226.603184,1.611548489,-11.9397585
2013/4/12,-1.3697,2270.8882,-26.6124,-10584704.88,2217.9652,24.9036,32.1795,"2,218.10","2,226.26","2,204.44","2,206.78",-12.77,-1.13,"668,463.40","5,619,687.80",2225.651373,1.922764742,-15.74104904
2013/4/15,-2.0576,2264.5329,-29.0331,-10874073.27,2212.0352,17.1777,23.4495,"2,199.91","2,204.99","2,177.39","2,181.94",-24.84,0.59,"716,323.23","5,816,217.77",2224.864737,2.585471831,-19.19080484
2013/4/16,-1.0847,2259.5542,-29.5694,-10309982.31,2205.8494,30.6002,26.6869,"2,169.63","2,196.43","2,165.78","2,194.85",12.9,-0.05,"799,921.78","6,695,584.50",2224.623183,3.990143694,-21.75349661
2013/4/17,-0.9739,2254.7536,-29.7363,-10682116.13,2199.3834,30.1235,29.9659,"2,195.03","2,197.51","2,178.47","2,193.80",-1.05,0.17,"683,141.81","5,998,655.62",2224.721844,5.904214986,-23.67395016
2013/4/18,-0.6563,2250.4078,-29.2246,-10588473.54,2194.9932,34.5579,33.8061,"2,181.82","2,206.03","2,175.44","2,197.60",3.81,2.14,"716,169.27","6,188,812.27",2225.133586,8.261170077,-25.08959474
2013/4/19,1.4311,2248.7939,-24.7381,-7359621.058,2202.5658,66.2881,53.7097,"2,201.12","2,250.11","2,200.58","2,244.64",47.04,-0.11,"1,096,605.56","9,538,301.20",2225.703325,10.84618476,-26.35971617
2013/4/22,1.2642,2247.9555,-21.1385,-5896880.922,2214.6112,64.3199,66.0008,"2,236.40","2,245.12","2,232.26","2,242.17",-2.47,-2.57,"952,337.30","8,224,499.82",2225.534195,12.6768694,-28.67180256
2013/4/23,-1.187,2244.6578,-22.6748,-4579349.751,2212.5496,35.1479,51.4138,"2,242.62","2,242.62","2,182.81","2,184.54",-57.63,1.55,"965,413.15","8,221,751.67",2224.717402,13.82634137,-31.84732829
2013/4/24,0.3155,2242.3469,-20.9253,-3889067.817,2217.454,50.8328,55.0421,"2,187.35","2,226.12","2,184.11","2,218.32",33.78,-0.86,"916,002.61","7,897,721.18",2224.192556,15.26998687,-34.54876623
2013/4/25,-0.4449,2240.7812,-20.8327,-2896777.904,2217.795,43.6957,49.9461,"2,213.19","2,224.63","2,191.85","2,199.31",-19.01,-0.97,"967,041.88","8,448,323.63",2223.49905,16.5336356,-37.0348246
